Customer,DOJ,StudentName,Department,City,Branch,Application,Duration,FeesperHour,Column1,Lat,Long,State
Customer B,01-03-2017,Student568,Sales,Nagpur,Nag 2,VBA,38,2200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,21.1526179,79.0881983,Maharashtra
Customer B,01-03-2017,Student6165,Sales,New Delhi,Saket,VBA,64,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer G,01-04-2017,Student4915,HR,Hyderabad,Hyd1,Excel,19,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer J,01-04-2017,Student2310,Sales,Pune,Pun35,Office 365,19,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,18.5289032,73.8743492,Maharashtra
Customer E,01-04-2017,Student3271,ADmN,Nagpur,Nag 2,Outlook,59,1200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer A,01-04-2017,Student1668,ADmN,New Delhi,ISBT,PowerBI,32,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer H,01-04-2017,Student2405,Sales,Kolkata,Hugli,PowerBI,27,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,22.5655734,88.3702152,West Bengal
Customer I,01-04-2017,Student3018,IT,Hyderabad,Hyd3,PowerBI,21,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,17.3921437,78.4656193,Telangana
Customer E,01-04-2017,Student4338,ADmN,Nagpur,Nag3,VBA,34,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer K,01-05-2017,Student3618,HR,Pune,Pune1,Excel,38,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,18.5289032,73.8743492,Maharashtra
Customer B,01-05-2017,Student6468,Finance,Hyderabad,Hyd2,Office 365,32,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer C,01-05-2017,Student109,IT,Nagpur,Nag 1,PowerBI,49,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer J,01-05-2017,Student227,Finance,Pune,Pune1,PowerBI,42,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,18.5289032,73.8743492,Maharashtra
Customer D,01-05-2017,Student6187,IT,Hyderabad,Hyd3,VBA,11,2200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer K,01-05-2017,Student1248,ADmN,Kolkata,Chakdaha,Word,10,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,22.5655734,88.3702152,West Bengal
Customer H,01-05-2017,Student1945,HR,Nagpur,Nag3,Word,11,900,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer I,01-06-2017,Student2829,Finance,Kolkata,Howrah,Office 365,68,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer G,01-06-2017,Student3454,Finance,Pune,Pune3,Outlook,82,1200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,18.5289032,73.8743492,Maharashtra
Customer H,01-06-2017,Student2526,ADmN,Hyderabad,Hyd3,VBA,77,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer B,01-06-2017,Student2635,IT,New Delhi,Gurgoan,VBA,55,2200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer K,01-06-2017,Student956,ADmN,Kolkata,Garden Reach,Word,9,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer G,01-07-2017,Student2219,Sales,New Delhi,Gurgoan,Outlook,28,1200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer A,01-07-2017,Student3933,Finance,Hyderabad,Hyd1,Outlook,14,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer E,01-07-2017,Student4330,HR,Chennai,Anna Salai,VBA,25,2200,http://ameetz.com/images/James_Cameron_October_2012.jpg,13.0117549,80.2214808,Tamil Nadu
Customer K,01-08-2017,Student1694,Sales,Kolkata,Howrah,Excel,8,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer C,01-08-2017,Student4666,Finance,Hyderabad,Hyd2,Outlook,23,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer B,01-08-2017,Student3289,Finance,Hyderabad,Hyd1,PowerBI,51,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer D,01-08-2017,Student4317,Finance,New Delhi,Chandni Chowk,PowerBI,39,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer A,01-08-2017,Student3175,Finance,Pune,Pun35,VBA,53,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,18.5289032,73.8743492,Maharashtra
Customer C,01-09-2017,Student2126,IT,Nagpur,Nag3,Excel,80,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,21.1526179,79.0881983,Maharashtra
Customer I,01-09-2017,Student3999,ADmN,New Delhi,Saket,Excel,15,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer H,01-09-2017,Student3469,    ADmN       ,New Delhi,ISBT,Office 365,66,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer D,01-09-2017,Student2195,    ADmN       ,New Delhi,Chandni Chowk,Word,8,900,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer D,01-10-2017,Student4574,Sales,Nagpur,Nag 1,Office 365,39,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer I,01-10-2017,Student5530,IT,Chennai,Koyambedu,Outlook,72,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer D,01-10-2017,Student3381,HR,Hyderabad,Hyd2,PowerApps,76,2500,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer B,01-10-2017,Student3339,Sales,Bangalore,Koramangala,PowerBI,17,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,12.966667,77.566667,Karnataka
Customer E,01-10-2017,Student5432,    ADmN       ,Pune,Pun35,Word,8,900,http://ameetz.com/images/James_Cameron_October_2012.jpg,18.5289032,73.8743492,Maharashtra
Customer C,01-11-2017,Student2041,Finance,Nagpur,Nag3,Office 365,9,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer K,01-11-2017,Student4437,HR,Nagpur,Nag 2,VBA,40,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer H,01-11-2017,Student952,IT,Kolkata,Garden Reach,Word,10,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,22.5655734,88.3702152,West Bengal
Customer I,01-11-2017,Student5703,IT,Chennai,Chennai Central,Word,11,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,13.0117549,80.2214808,Tamil Nadu
Customer G,01-12-2017,Student2118,Sales,Kolkata,Chakdaha,Excel,42,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,22.5655734,88.3702152,West Bengal
Customer I,01-12-2017,Student6175,HR,Bangalore,Koramangala,Excel,50,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer D,01-12-2017,Student551,HR,Bangalore,Koramangala,Outlook,73,1200,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer E,01-12-2017,Student3561,IT,Hyderabad,Hyd2,Outlook,39,1200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer B,01-12-2017,Student798,Sales,New Delhi,Saket,PowerBI,75,2500,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer I,01-12-2017,Student499,Finance,Nagpur,Nag 1,Word,8,900,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer I,01-12-2017,Student2548,Finance,New Delhi,Gurgoan,Word,8,900,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer E,01-12-2017,Student2912,Sales,Hyderabad,Hyd2,Word,12,900,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer A,01-12-2017,Student3947,Finance,Pune,Pune3,Word,9,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,18.5289032,73.8743492,Maharashtra
Customer J,13-01-2017,Student2599,    ADmN       ,New Delhi,Noida,Office 365,31,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,28.6741448,77.216544,Delhi
Customer E,13-01-2017,Student5876,HR,Bangalore,Jalahalli,Office 365,35,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer H,13-01-2017,Student2268,Sales,Bangalore,Bayappanhalli,PowerApps,89,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,12.966667,77.566667,Karnataka
Customer G,13-01-2017,Student4337,Finance,Pune,Pune2,PowerApps,13,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,18.5289032,73.8743492,Maharashtra
Customer A,13-01-2017,Student3916,HR,Kolkata,Howrah,PowerBI,74,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,22.5655734,88.3702152,West Bengal
Customer I,14-01-2017,Student1906,HR,Hyderabad,Hyd3,Excel,62,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer H,14-01-2017,Student3260,IT,Nagpur,Nag 1,Word,10,900,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer D,15-01-2017,Student6556,HR,Hyderabad,Hyd3,Excel,38,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,17.3921437,78.4656193,Telangana
Customer A,15-01-2017,Student693,Finance,Nagpur,Nag 2,Office 365,71,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer E,15-01-2017,Student27,Sales,Nagpur,Nag 1,PowerApps,61,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,21.1526179,79.0881983,Maharashtra
Customer H,15-01-2017,Student1937,Finance,Bangalore,Koramangala,PowerApps,58,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer B,15-01-2017,Student3895,HR,Kolkata,Howrah,PowerApps,82,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer K,15-01-2017,Student2746,Finance,Nagpur,Nag3,VBA,60,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer B,15-01-2017,Student5809,Finance,New Delhi,Noida,Word,12,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer C,16-01-2017,Student1911,HR,Bangalore,Koramangala,Excel,82,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer B,16-01-2017,Student4740,Finance,Chennai,Koyambedu,Office 365,39,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,13.0117549,80.2214808,Tamil Nadu
Customer E,16-01-2017,Student5908,    ADmN       ,Chennai,Anna Salai,Office 365,78,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,13.0117549,80.2214808,Tamil Nadu
Customer K,16-01-2017,Student662,    ADmN       ,Bangalore,Jalahalli,Outlook,60,1200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer A,16-01-2017,Student2270,Finance,Hyderabad,Hyd3,VBA,25,2200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer B,16-01-2017,Student1096,Sales,New Delhi,Gurgoan,Word,8,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer C,17-01-2017,Student5773,    ADmN       ,Nagpur,Nag3,Excel,12,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer G,17-01-2017,Student4409,IT,Bangalore,Jalahalli,Office 365,85,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,12.966667,77.566667,Karnataka
Customer K,17-01-2017,Student293,IT,Bangalore,Koramangala,Outlook,55,1200,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer D,17-01-2017,Student772,IT,Hyderabad,Hyd2,Outlook,86,1200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer C,17-01-2017,Student4849,Finance,Kolkata,South Dum-Dum,Outlook,70,1200,http://ameetz.com/images/James_Cameron_October_2012.jpg,22.5655734,88.3702152,West Bengal
Customer K,17-01-2017,Student1570,Finance,Bangalore,Jalahalli,PowerBI,67,2500,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer G,17-01-2017,Student1783,Sales,Hyderabad,Hyd2,VBA,12,2200,http://ameetz.com/images/James_Cameron_October_2012.jpg,17.3921437,78.4656193,Telangana
Customer E,17-01-2017,Student2177,IT,New Delhi,Chandni Chowk,VBA,58,2200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer C,17-01-2017,Student3896,    ADmN       ,Hyderabad,Hyd3,VBA,38,2200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer E,17-01-2017,Student3294,HR,Nagpur,Nag3,Word,11,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer C,17-01-2017,Student4670,HR,Nagpur,Nag 2,Word,12,900,http://ameetz.com/images/James_Cameron_October_2012.jpg,21.1526179,79.0881983,Maharashtra
Customer I,18-01-2017,Student1556,Sales,Bangalore,Koramangala,Excel,37,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer E,18-01-2017,Student3820,HR,Pune,Pune2,Excel,55,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,18.5289032,73.8743492,Maharashtra
Customer C,18-01-2017,Student5359,HR,Kolkata,Howrah,Excel,68,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer I,18-01-2017,Student1458,HR,Bangalore,Koramangala,Office 365,77,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer A,18-01-2017,Student3558,HR,Chennai,Chennai Central,Outlook,85,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer E,18-01-2017,Student4892,Admin       ,Chennai,Anna Salai,VBA,10,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer I,18-01-2017,Student2787,Finance,Kolkata,Howrah,Word,10,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer C,19-01-2017,Student3312,Finance,Pune,Pun35,Excel,84,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,18.5289032,73.8743492,Maharashtra
Customer E,19-01-2017,Student1591,Admin       ,New Delhi,ISBT,Office 365,73,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer C,19-01-2017,Student1632,HR,Chennai,Chennai Central,Office 365,58,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,13.0117549,80.2214808,Tamil Nadu
Customer A,19-01-2017,Student3451,Admin       ,Chennai,Anna Salai,Office 365,23,2000,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer A,19-01-2017,Student2540,Finance,New Delhi,Noida,VBA,75,2200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer B,19-01-2017,Student5107,IT,Hyderabad,Hyd1,VBA,75,2200,http://ameetz.com/images/James_Cameron_October_2012.jpg,17.3921437,78.4656193,Telangana
Customer J,20-01-2017,Student2659,Admin       ,New Delhi,Chandni Chowk,Outlook,29,1200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,28.6741448,77.216544,Delhi
Customer E,21-01-2017,Student5445,HR,New Delhi,ISBT,Excel,90,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer E,21-01-2017,Student5790,IT,Pune,Pune1,Outlook,13,1200,http://ameetz.com/images/James_Cameron_October_2012.jpg,18.5289032,73.8743492,Maharashtra
Customer E,21-01-2017,Student6071,Finance,Bangalore,Jalahalli,PowerBI,25,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer G,21-01-2017,Student2810,HR,Kolkata,Hugli,VBA,77,2200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer C,21-01-2017,Student6353,Sales,Chennai,Anna Salai,VBA,52,2200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer K,21-01-2017,Student728,Admin       ,Kolkata,Howrah,Word,11,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,22.5655734,88.3702152,West Bengal
Customer C,21-01-2017,Student4466,Admin       ,Chennai,Chennai Central,Word,12,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer H,21-01-2017,Student5655,IT,Chennai,Chennai Central,Word,10,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,13.0117549,80.2214808,Tamil Nadu
Customer G,22-01-2017,Student5872,Finance,Pune,Pune3,Excel,9,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,18.5289032,73.8743492,Maharashtra
Customer J,22-01-2017,Student231,Admin       ,Bangalore,Jalahalli,Office 365,88,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,12.966667,77.566667,Karnataka
Customer I,22-01-2017,Student3240,HR,Chennai,Chennai Central,Office 365,44,2000,http://ameetz.com/images/James_Cameron_October_2012.jpg,13.0117549,80.2214808,Tamil Nadu
Customer G,22-01-2017,Student5950,IT,Hyderabad,Hyd3,PowerApps,12,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer I,22-01-2017,Student859,IT,Chennai,Chennai Central,PowerBI,43,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer A,22-01-2017,Student6244,Sales,Chennai,Koyambedu,PowerBI,47,2500,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer A,23-01-2017,Student1114,Admin       ,Hyderabad,Hyd2,Excel,74,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,17.3921437,78.4656193,Telangana
Customer E,23-01-2017,Student2916,Admin       ,New Delhi,Gurgoan,Excel,56,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer H,23-01-2017,Student2176,HR,Pune,Pune2,Outlook,44,1200,http://ameetz.com/images/James_Cameron_October_2012.jpg,18.5289032,73.8743492,Maharashtra
Customer G,23-01-2017,Student3780,Finance,Kolkata,Chakdaha,Outlook,10,1200,http://ameetz.com/images/James_Cameron_October_2012.jpg,22.5655734,88.3702152,West Bengal
Customer A,23-01-2017,Student5154,HR,New Delhi,Chandni Chowk,PowerBI,68,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,28.6741448,77.216544,Delhi
Customer H,23-01-2017,Student14,Finance,Chennai,Koyambedu,Word,11,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer J,23-01-2017,Student4258,Sales,Pune,Pune4,Word,12,900,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,18.5289032,73.8743492,Maharashtra
Customer I,24-01-2017,Student2476,Sales,Nagpur,Nag3,Outlook,69,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer D,24-01-2017,Student835,HR,Hyderabad,Hyd2,VBA,26,2200,http://ameetz.com/images/James_Cameron_October_2012.jpg,17.3921437,78.4656193,Telangana
Customer G,24-01-2017,Student1077,Finance,Pune,Pune2,VBA,24,2200,http://ameetz.com/images/James_Cameron_October_2012.jpg,18.5289032,73.8743492,Maharashtra
Customer A,24-01-2017,Student4620,HR,New Delhi,Noida,VBA,41,2200,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,28.6741448,77.216544,Delhi
Customer E,24-01-2017,Student5011,HR,Nagpur,Nag 1,Word,9,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer J,24-01-2017,Student5976,IT,Nagpur,Nag3,Word,10,900,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer K,25-01-2017,Student3268,HR,Kolkata,Howrah,Excel,79,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,22.5655734,88.3702152,West Bengal
Customer I,25-01-2017,Student5266,Finance,Chennai,Anna Salai,Outlook,66,1200,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,13.0117549,80.2214808,Tamil Nadu
Customer B,25-01-2017,Student485,IT,Chennai,Anna Salai,PowerApps,50,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,13.0117549,80.2214808,Tamil Nadu
Customer E,25-01-2017,Student6060,Sales,Bangalore,Jalahalli,PowerApps,33,2500,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,12.966667,77.566667,Karnataka
Customer B,25-01-2017,Student1545,Admin       ,Chennai,Anna Salai,PowerBI,72,2500,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,13.0117549,80.2214808,Tamil Nadu
Customer J,25-01-2017,Student5907,Sales,Kolkata,South Dum-Dum,VBA,51,2200,http://ameetz.com/images/800px-Quentin_Tarantino_by_Gage_Skidmore.jpg,22.5655734,88.3702152,West Bengal
Customer C,26-01-2017,Student2327,IT,Hyderabad,Hyd3,Excel,16,2000,http://ameetz.com/images/Christopher_Nolan_Cannes_2018.jpg,17.3921437,78.4656193,Telangana
Customer I,26-01-2017,Student2670,Admin,Nagpur,Nag 2,Office 365,51,2000,http://ameetz.com/images/800px-Steven_Spielberg_by_Gage_Skidmore.jpg,21.1526179,79.0881983,Maharashtra
Customer D,26-01-2017,Student1111,Finance,New Delhi,Saket,PowerBI,90,2500,http://ameetz.com/images/James_Cameron_October_2012.jpg,28.6741448,77.216544,Delhi
